NSFTV_ID,Na:K Shoot ,Na Shoot ,K Shoot Salt ,K Shoot Control ,Na:K Root ,Na Root ,K Root Salt 
NSFTV_234,159.9618364,0.147794726,0.909651121,1.000641548,622.7641799,0.449723152,0.720557148
NSFTV_235,110.4118364,0.100794726,0.926151121,0.837602208,528.3994671,0.324167912,0.608254053
NSFTV_236,244.9618364,0.191044726,0.792901121,0.908046773,627.6982757,0.361147665,0.587474633
NSFTV_237,220.3368364,0.181544726,0.874151121,0.896934922,438.6595461,0.266671361,0.610653092
NSFTV_238,165.0618364,0.142044726,0.868401121,NA,492.510382,0.326348864,0.665015547
NSFTV_239,269.5603877,0.243517615,0.914454597,1.043104842,551.4120936,0.349130779,0.644618528
NSFTV_24,165.7868364,0.161044726,0.964151121,1.015763158,608.7781221,0.362950501,0.608309821
NSFTV_240,234.1621447,0.218716101,0.95256665,1.054695985,579.2374437,0.387619258,0.678184377
NSFTV_241,117.7121447,0.115466101,1.02156665,0.969880427,558.8141577,0.397209595,0.70878112
NSFTV_242,274.7317586,0.224950251,0.845057091,0.937798596,454.8261651,0.314248601,0.632982752
NSFTV_243,176.5121447,0.145466101,0.86556665,0.929416546,444.0688621,0.252187584,0.560774962
NSFTV_244,183.2222155,0.158116637,0.903303655,1.074605165,398.7843406,0.234215609,0.580289586
NSFTV_245,194.1371447,0.181716101,0.94331665,1.118405167,403.1426275,0.335427804,0.816996063
NSFTV_246,153.7621447,0.148966101,0.99031665,1.150440646,564.1486999,0.335594447,0.59306352
NSFTV_247,218.8121447,0.202466101,0.92806665,0.984936673,297.2517774,0.217520908,0.718792517
NSFTV_248,191.2371447,0.159716101,0.82856665,0.908923568,419.6477597,0.305502393,0.724618886
NSFTV_249,211.8469623,0.194543226,0.932567845,1.119466621,447.8729617,0.359557921,0.794585451
NSFTV_25,342.9368364,0.320794726,0.934151121,1.082521202,462.8154625,0.342222829,0.731707859
NSFTV_250,136.0121447,0.117216101,0.89831665,0.826366268,582.2282573,0.319799279,0.56402479
NSFTV_251,213.5121447,0.217216101,1.03981665,1.286317318,491.9018775,0.377274303,0.785270749
NSFTV_252,165.9112057,0.159131694,0.968787173,1.05691299,397.164087,0.218320366,0.544972404
NSFTV_253,286.9371447,0.269216101,0.93406665,1.222063775,655.6833032,0.369242573,0.601406879
NSFTV_254,268.3121447,0.225466101,0.82456665,1.061940944,551.1652325,0.396895865,0.721566171
NSFTV_255,124.5871447,0.115966101,0.93731665,1.031190858,627.8390474,0.42151951,0.659236358
NSFTV_256,256.4871447,0.240716101,0.92131665,1.066450667,532.4252925,0.332954718,0.627573103
NSFTV_257,164.695791,0.14957757,0.924659809,0.906721168,444.6244708,0.164834521,0.599694132
