"Area_Day21" "Area_Growth" "Area_Day29_MPH" "Area_Day21_MPH" "Area_Day29" "Area_Growth_MPH" "LTF" "LTF_MPH" "DTF_MPH" "DTF"
"C155" 85.0958 27.699 5.1221 12.0383 55.8911 2.4898 2.5902 0.1255 -0.0114 1.8121
"C156" 88.7064 29.6911 9.2446 15.5617 59.2849 5.0465 2.6407 0.121 -0.0159 1.8059
"C157" 71.9337 24.2635 0.3596 2.3727 49.2299 0.0501 2.5683 0.0689 0.0052 1.8309
"C158" 85.8589 29.7864 5.4504 10.4128 59.1395 2.8111 2.5749 0.0158 -0.0128 1.8109
"C159" 74.3458 27.3306 2.1238 3.0105 54.1505 1.1483 2.5145 -0.0181 0.0056 1.8152
"C160" 66.7606 24.7375 -1.3309 -6.7722 49.3563 -0.3668 2.4684 -0.0067 8e-04 1.8164
"C161" 77.4392 24.9938 -1.184 3.437 51.0288 -1.1136 2.6127 0.1151 0.0185 1.8264
"C162" 88.7733 29.7511 7.654 14.8835 59.379 3.9475 2.6084 0.1587 0.0029 1.7987
"C163" 76.991 27.0863 2.6816 6.1767 54.0343 1.2999 2.5597 0.0128 -0.0059 1.8047
"C164" 73.8181 25.803 0.0384 2.1552 51.7397 -0.1477 2.537 -0.0165 0.003 1.8213
"C165" 85.7965 28.4902 6.9003 15.9868 57.169 3.3473 2.4667 0.0949 -0.0176 1.7701
"C166" 76.9463 27.817 7.0699 10.4076 55.1377 3.8847 2.6742 0.1184 0.0079 1.8352
"C167" 72.9167 25.9786 1.8168 1.5329 51.8865 1.1327 2.6381 0.2358 0.0287 1.8233
"C168" 86.2335 26.283 6.1208 17.8506 54.0929 2.6312 2.5636 0.2773 0.0331 1.8188
"C169" 53.9806 20.6936 -8.1771 -17.152 41.6472 -4.0356 2.5777 -0.0091 9e-04 1.8357
"C170" 81.9838 25.8032 2.179 4.2425 52.8144 1.1549 2.4363 -0.0142 -0.0157 1.7993
"C171" 77.9051 24.555 1.5928 2.2141 50.533 0.9328 2.4387 -0.0473 -0.0188 1.8104
"C172" 87.2546 30.5554 6.1526 7.2119 60.4369 3.5764 2.537 0.047 -0.023 1.7938
"C173" 81.727 28.4273 3.9741 5.7952 56.596 2.2414 2.363 -0.1004 -0.0349 1.7679
"C174" 76.3132 24.5067 1.3318 3.1451 50.2376 0.5914 2.5618 0.0393 0.013 1.84
"C175" 82.5511 24.3703 0.2047 4.1595 51.0631 -0.3713 2.534 0.1382 0.0179 1.8322
"C176" 77.3952 27.1658 1.5463 -0.7536 54.2159 1.1013 2.4133 -0.0583 0.0192 1.8223
"C178" 77.5603 24.8945 1.065 4.5235 50.9115 0.3118 2.4528 0.0551 -0.0073 1.7969
"C179" 85.1574 26.5799 2.3862 9.7465 54.334 0.7898 2.4848 0.0071 -0.0153 1.7884
"C180" 85.2123 29.6086 7.9809 10.8061 58.8448 4.462 2.3472 0.0446 -0.0154 1.7654
"C181" 80.9441 25.894 4.1132 9.8089 52.776 1.9581 2.5391 0.0526 -0.02 1.8004
"C182" 80.3177 27.1916 2.0715 0.9216 54.6054 1.3366 2.281 0.0462 -0.004 1.7764
"C183" 79.8092 27.2335 3.9111 3.8288 54.5759 2.3839 2.3902 0.0571 -0.0114 1.7764
"C184" 70.2576 24.2708 0.0389 -2.4353 49.0264 0.2506 2.6004 0.0882 0.0053 1.8402
"C186" 82.9588 28.0972 7.9777 10.1787 56.2365 4.6415 2.6612 0.0941 8e-04 1.8341
"C187" 70.3039 22.8258 -0.0786 1.1075 47.0102 -0.1986 2.8171 0.2702 0.0247 1.8619
"C188" 85.2596 27.9829 4.4923 10.1781 56.3999 2.1966 2.5044 -0.1022 -0.0134 1.8217
"C189" 80.9635 25.5979 2.1431 9.9929 52.3883 0.6046 2.4213 -0.1587 -0.0249 1.7962
"C190" 78.5931 26.7358 5.2374 8.2879 53.6987 2.859 2.4811 -0.0934 -0.0142 1.8171
"C191" 70.7425 23.3559 -2.5083 -1.7286 47.7923 -1.5693 2.883 0.2001 0.0258 1.87
"C192" 75.6815 24.5319 1.8662 7.1099 50.1768 0.6203 2.626 0.0343 0.0033 1.8371
"C193" 74.1202 25.816 1.5852 1.8118 51.7848 0.9453 2.6403 -0.0026 0.0131 1.8484
"C195" 77.0677 24.8063 3.2339 8.9921 50.7038 1.4162 2.7324 0.218 0.0231 1.8456
"C196" 85.7505 26.5229 4.4416 12.2253 54.3851 1.9083 2.5631 0.0659 0.0225 1.8298
"C197" 76.4399 26.5593 4.7186 6.9949 53.2059 2.6054 2.5493 0.1301 0.0167 1.8158
"C198" 72.8242 26.8751 4.4546 3.6812 53.266 2.6796 2.809 0.2948 0.0397 1.856
"C200" 78.286 23.5404 0.6921 2.3327 49.2084 0.2844 2.4671 -0.0088 -0.013 1.8219
"C201" 90.3192 29.7035 5.6106 10.0142 59.4709 3.0909 2.5186 0.0387 -0.005 1.8175
"C202" 90.5352 27.9688 6.8427 15.0065 57.2567 3.2657 2.5566 0.1088 0.0093 1.8279
"C203" 75.316 24.5974 -2.0334 -2.3787 50.2198 -1.1541 2.6974 0.1413 0.009 1.8405
"C204" 80.6792 24.7036 0.8632 6.8842 51.1264 -0.0343 2.5845 0.1195 0.0047 1.8259
"C205" 77.9722 24.2088 1.5728 4.5418 50.0545 0.6598 2.5465 0.0341 0.0019 1.8346
"C206" 87.9097 28.04 4.6653 10.3778 56.8176 2.343 2.5793 0.0632 -0.0109 1.8118
"C207" 87.5201 29.486 7.1087 11.1448 58.8469 3.9798 2.4346 0.0101 0.001 1.8209
"C208" 71.2066 23.8014 -0.9513 -2.0924 48.4713 -0.415 2.5005 0.1129 0.0102 1.8202
"C209" 83.7302 25.7289 1.1027 7.2084 52.9751 0.1408 2.5669 0.0927 0.0054 1.8226
"C210" 84.5729 28.4721 6.317 10.2065 57.081 3.4503 2.5459 0.1584 -0.0017 1.8019
"C212" 78.6037 27.3665 1.9776 1.8094 54.6357 1.1982 2.5315 0.0156 -0.0089 1.8161
"C214" 83.6098 28.2644 4.6174 6.7283 56.5467 2.6606 2.6141 0.0433 -0.0194 1.8039
"C215" 94.5591 31.0443 6.4042 15.3761 61.9824 3.1098 2.5647 -0.0456 0.0054 1.8306
"C216" 76.8914 28.2268 1.8417 0.3188 55.8128 1.1535 2.6069 -0.0797 -0.0312 1.803
"C217" 78.7758 28.0933 3.7976 6.1028 55.7788 2.0336 2.6225 0.0271 0.0073 1.8312
"C218" 82.0128 28.4954 4.1669 4.7432 56.7431 2.432 2.5464 0.0202 -0.0031 1.8139
"C219" 82.3062 27.2324 0.9404 5.0171 54.9039 0.2124 2.7268 0.1349 0.0466 1.8581
"C221" 78.6057 27.7801 4.1246 6.4287 55.2651 2.2419 2.6313 0.1132 -0.0167 1.7959
"C222" 80.0166 27.8571 1.9248 2.3899 55.5389 1.0944 2.569 0.0681 0.0158 1.8131
"C223" 75.6643 28.1658 3.4372 2.1178 55.595 2.0637 2.3633 -0.0596 -0.022 1.7671
"C224" 84.1983 28.4924 7.0131 13.9228 56.9699 3.6011 2.8755 0.2687 0.0303 1.8591
"C225" 83.5874 29.3158 5.6711 10.343 58.1531 2.9722 2.4732 -0.0448 0.0145 1.8208
"C226" 67.7881 25.5139 -1.0915 -7.0814 50.6219 -0.1745 2.6362 -0.0017 -0.0021 1.8342
"C227" 77.5254 26.0139 -0.2551 -0.1481 52.4963 -0.1556 2.5055 0.0442 0.0171 1.8282
"C228" 88.953 28.9896 6.2341 11.1922 58.2567 3.3847 2.4684 -0.0479 0.0141 1.8235
"C229" 79.3308 26.5367 2.6646 5.1538 53.5172 1.3631 2.663 0.167 0.0317 1.845
"C230" 64.157 23.643 -8.3376 -15.9052 47.3339 -4.2926 2.421 -0.1347 0.0136 1.8249
"C231" 75.3645 26.9544 -0.4128 -2.0873 53.6516 -0.12 2.6452 0.0131 0.0169 1.8372
"C232" 83.2544 28.2925 4.4572 9.7022 56.5316 2.2317 2.5616 0.0207 0.0015 1.8114
"C233" 74.4516 24.9834 0.3791 1.264 50.6721 0.1115 2.6313 0.0431 0.034 1.8554
"C234" 88.8545 28.4811 5.2871 10.4435 57.5327 2.7829 2.5408 0.0793 0.0023 1.8111
